ticket_id,customer_id,opened_at,resolved_at,priority,category,satisfaction_score
TICKET-CUST-00035-0,CUST-00035,2026-02-08 00:00:00+00:00,2026-02-09 18:50:24.481477601+00:00,medium,general,3.2
TICKET-CUST-00035-1,CUST-00035,2026-03-27 00:00:00+00:00,2026-03-28 19:25:02.027733413+00:00,medium,billing,2.7
TICKET-CUST-00035-2,CUST-00035,2026-03-30 00:00:00+00:00,,low,general,4.5
TICKET-CUST-00035-3,CUST-00035,2026-01-25 00:00:00+00:00,2026-01-26 12:44:14.300881580+00:00,medium,general,2.5
TICKET-CUST-00036-0,CUST-00036,2026-02-09 00:00:00+00:00,2026-02-11 04:21:10.557926645+00:00,high,billing,3.6
TICKET-CUST-00036-1,CUST-00036,2026-03-16 00:00:00+00:00,2026-03-18 02:52:55.749897636+00:00,low,general,2.7
TICKET-CUST-00036-2,CUST-00036,2026-01-26 00:00:00+00:00,2026-01-27 19:30:08.295506998+00:00,medium,billing,2.7
TICKET-CUST-00036-3,CUST-00036,2026-02-16 00:00:00+00:00,2026-02-17 22:32:16.111961681+00:00,high,general,2.1
TICKET-CUST-00038-0,CUST-00038,2026-02-22 00:00:00+00:00,2026-02-24 00:30:02.006196458+00:00,medium,general,2.3
TICKET-CUST-00040-0,CUST-00040,2026-03-25 00:00:00+00:00,2026-03-25 22:11:56.569480941+00:00,low,training,3.8
TICKET-CUST-00041-0,CUST-00041,2026-04-12 00:00:00+00:00,2026-04-13 14:17:26.114853567+00:00,medium,general,4.0
TICKET-CUST-00041-1,CUST-00041,2026-03-04 00:00:00+00:00,2026-03-04 19:07:57.417268604+00:00,high,bug,3.4
TICKET-CUST-00042-0,CUST-00042,2026-03-08 00:00:00+00:00,,low,general,3.4
TICKET-CUST-00042-1,CUST-00042,2026-02-12 00:00:00+00:00,2026-02-13 16:33:05.696332277+00:00,low,general,2.4
TICKET-CUST-00042-2,CUST-00042,2026-01-26 00:00:00+00:00,2026-01-27 11:59:53.003370776+00:00,low,training,2.3
TICKET-CUST-00043-0,CUST-00043,2026-03-03 00:00:00+00:00,2026-03-04 07:07:04.717767734+00:00,high,bug,3.3
TICKET-CUST-00043-1,CUST-00043,2026-03-03 00:00:00+00:00,2026-03-03 23:05:10.075032722+00:00,low,billing,3.9
TICKET-CUST-00043-2,CUST-00043,2026-04-11 00:00:00+00:00,2026-04-12 13:26:40.502724247+00:00,high,billing,3.1
TICKET-CUST-00046-0,CUST-00046,2026-01-23 00:00:00+00:00,2026-01-25 14:06:04.814485645+00:00,low,bug,1.9
TICKET-CUST-00046-1,CUST-00046,2026-03-07 00:00:00+00:00,2026-03-08 23:11:16.325981512+00:00,medium,training,3.3
TICKET-CUST-00047-0,CUST-00047,2026-02-18 00:00:00+00:00,2026-02-19 06:04:44.156529019+00:00,low,general,4.1
TICKET-CUST-00048-0,CUST-00048,2026-04-05 00:00:00+00:00,2026-04-05 23:25:38.769774674+00:00,medium,bug,2.9
TICKET-CUST-00049-0,CUST-00049,2026-02-25 00:00:00+00:00,2026-02-25 22:39:03.658485259+00:00,medium,general,3.5
TICKET-CUST-00050-0,CUST-00050,2026-04-09 00:00:00+00:00,2026-04-10 01:23:13.779794893+00:00,medium,general,1.6
TICKET-CUST-00050-1,CUST-00050,2026-01-30 00:00:00+00:00,2026-01-31 06:12:32.061146868+00:00,low,bug,4.0
TICKET-CUST-00051-0,CUST-00051,2026-03-24 00:00:00+00:00,2026-03-25 07:40:43.153993427+00:00,low,training,4.2
TICKET-CUST-00051-1,CUST-00051,2026-02-05 00:00:00+00:00,2026-02-06 11:51:37.680367768+00:00,medium,training,3.3
TICKET-CUST-00053-0,CUST-00053,2026-04-20 00:00:00+00:00,2026-04-21 08:37:10.576713601+00:00,low,bug,3.5
TICKET-CUST-00055-0,CUST-00055,2026-03-27 00:00:00+00:00,2026-03-29 06:13:26.993306562+00:00,high,billing,4.4
TICKET-CUST-00055-1,CUST-00055,2026-02-08 00:00:00+00:00,2026-02-09 19:55:27.840019867+00:00,high,billing,2.1
TICKET-CUST-00056-0,CUST-00056,2026-02-12 00:00:00+00:00,2026-02-13 10:33:07.422948319+00:00,medium,general,3.8
TICKET-CUST-00057-0,CUST-00057,2026-02-09 00:00:00+00:00,2026-02-10 05:18:56.550643292+00:00,medium,bug,3.3
TICKET-CUST-00057-1,CUST-00057,2026-04-18 00:00:00+00:00,2026-04-19 11:51:28.637010687+00:00,medium,bug,3.3
TICKET-CUST-00057-2,CUST-00057,2026-02-14 00:00:00+00:00,2026-02-15 01:51:31.918415074+00:00,low,training,3.6
TICKET-CUST-00057-3,CUST-00057,2026-04-06 00:00:00+00:00,2026-04-07 19:51:19.888699368+00:00,medium,training,3.0
TICKET-CUST-00058-0,CUST-00058,2026-01-30 00:00:00+00:00,2026-01-31 13:35:14.123757367+00:00,low,billing,4.6
TICKET-CUST-00059-0,CUST-00059,2026-04-20 00:00:00+00:00,2026-04-21 01:44:59.837593280+00:00,medium,general,5.0
TICKET-CUST-00060-0,CUST-00060,2026-04-20 00:00:00+00:00,2026-04-20 17:11:12.456941180+00:00,medium,general,4.5
TICKET-CUST-00063-0,CUST-00063,2026-01-27 00:00:00+00:00,2026-01-29 02:55:39.622685377+00:00,low,training,5.0
TICKET-CUST-00064-0,CUST-00064,2026-02-01 00:00:00+00:00,2026-02-02 00:15:59.259419033+00:00,high,billing,3.5
TICKET-CUST-00065-0,CUST-00065,2026-01-27 00:00:00+00:00,2026-01-28 16:37:17.344269933+00:00,medium,general,2.7
TICKET-CUST-00067-0,CUST-00067,2026-02-27 00:00:00+00:00,2026-02-28 14:21:16.461400402+00:00,low,billing,3.1
TICKET-CUST-00069-0,CUST-00069,2026-03-23 00:00:00+00:00,2026-03-24 19:29:27.165698286+00:00,low,bug,2.5
TICKET-CUST-00070-0,CUST-00070,2026-02-04 00:00:00+00:00,2026-02-04 15:38:32.054488934+00:00,medium,general,5.0
TICKET-CUST-00070-1,CUST-00070,2026-03-25 00:00:00+00:00,2026-03-25 22:29:38.891980276+00:00,high,training,3.1
TICKET-CUST-00071-0,CUST-00071,2026-01-28 00:00:00+00:00,2026-01-29 10:07:41.049923983+00:00,low,general,3.2
TICKET-CUST-00071-1,CUST-00071,2026-03-20 00:00:00+00:00,2026-03-21 22:22:56.133529181+00:00,medium,training,4.5
TICKET-CUST-00072-0,CUST-00072,2026-02-08 00:00:00+00:00,,low,billing,2.5
TICKET-CUST-00072-1,CUST-00072,2026-01-28 00:00:00+00:00,,medium,training,1.0
TICKET-CUST-00072-2,CUST-00072,2026-04-03 00:00:00+00:00,2026-04-04 22:48:36.085500773+00:00,medium,training,3.0
TICKET-CUST-00073-0,CUST-00073,2026-04-13 00:00:00+00:00,2026-04-14 16:25:29.364708137+00:00,medium,bug,3.9
TICKET-CUST-00074-0,CUST-00074,2026-04-08 00:00:00+00:00,2026-04-09 02:17:22.741427872+00:00,medium,bug,5.0
TICKET-CUST-00075-0,CUST-00075,2026-02-14 00:00:00+00:00,2026-02-15 15:32:11.585433085+00:00,low,general,3.2
TICKET-CUST-00075-1,CUST-00075,2026-01-23 00:00:00+00:00,2026-01-24 04:22:08.629821061+00:00,low,training,3.8
TICKET-CUST-00076-0,CUST-00076,2026-02-26 00:00:00+00:00,,high,billing,2.4
TICKET-CUST-00076-1,CUST-00076,2026-03-06 00:00:00+00:00,,low,general,3.2
TICKET-CUST-00076-2,CUST-00076,2026-03-19 00:00:00+00:00,2026-03-20 23:44:30.446873737+00:00,low,bug,2.2
TICKET-CUST-00078-0,CUST-00078,2026-03-07 00:00:00+00:00,,low,general,3.7
TICKET-CUST-00078-1,CUST-00078,2026-01-25 00:00:00+00:00,2026-01-26 22:38:49.071635864+00:00,high,general,2.4
TICKET-CUST-00080-0,CUST-00080,2026-01-30 00:00:00+00:00,2026-01-30 17:44:20.581686565+00:00,high,billing,4.5
TICKET-CUST-00080-1,CUST-00080,2026-01-28 00:00:00+00:00,2026-01-29 13:28:52.696142244+00:00,high,bug,2.5
TICKET-CUST-00081-0,CUST-00081,2026-01-26 00:00:00+00:00,,low,training,4.2
TICKET-CUST-00081-1,CUST-00081,2026-03-18 00:00:00+00:00,2026-03-19 05:08:14.739212625+00:00,low,billing,3.8
TICKET-CUST-00082-0,CUST-00082,2026-02-20 00:00:00+00:00,2026-02-21 13:08:06.756884869+00:00,medium,billing,2.1
TICKET-CUST-00082-1,CUST-00082,2026-02-12 00:00:00+00:00,2026-02-13 13:44:19.166632801+00:00,high,billing,1.5
TICKET-CUST-00083-0,CUST-00083,2026-04-05 00:00:00+00:00,2026-04-05 19:20:18.129171859+00:00,high,bug,3.1
TICKET-CUST-00083-1,CUST-00083,2026-01-26 00:00:00+00:00,2026-01-26 08:50:12.906151447+00:00,medium,general,3.3
TICKET-CUST-00085-0,CUST-00085,2026-04-06 00:00:00+00:00,2026-04-06 22:05:00.868590805+00:00,medium,general,4.0
TICKET-CUST-00086-0,CUST-00086,2026-03-02 00:00:00+00:00,2026-03-02 23:16:45.668280856+00:00,medium,training,3.4
TICKET-CUST-00089-0,CUST-00089,2026-03-05 00:00:00+00:00,2026-03-06 04:46:06.647845013+00:00,medium,training,3.3
TICKET-CUST-00090-0,CUST-00090,2026-04-14 00:00:00+00:00,2026-04-15 11:45:49.529565697+00:00,low,training,3.7
TICKET-CUST-00090-1,CUST-00090,2026-02-11 00:00:00+00:00,2026-02-12 20:35:40.667349326+00:00,low,bug,3.6
TICKET-CUST-00090-2,CUST-00090,2026-03-10 00:00:00+00:00,2026-03-11 17:22:15.535732730+00:00,low,training,2.0
TICKET-CUST-00092-0,CUST-00092,2026-01-31 00:00:00+00:00,2026-02-01 01:32:25.087516134+00:00,low,general,3.2
TICKET-CUST-00092-1,CUST-00092,2026-01-28 00:00:00+00:00,,low,bug,4.0
TICKET-CUST-00093-0,CUST-00093,2026-03-08 00:00:00+00:00,2026-03-09 07:53:48.914617307+00:00,medium,bug,5.0
TICKET-CUST-00094-0,CUST-00094,2026-04-09 00:00:00+00:00,2026-04-11 06:10:59.952279515+00:00,high,general,1.0
TICKET-CUST-00094-1,CUST-00094,2026-01-27 00:00:00+00:00,2026-01-29 12:40:17.036056901+00:00,low,bug,3.3
TICKET-CUST-00094-2,CUST-00094,2026-04-03 00:00:00+00:00,2026-04-05 05:31:01.726875065+00:00,low,billing,2.1
TICKET-CUST-00094-3,CUST-00094,2026-02-01 00:00:00+00:00,2026-02-03 00:49:53.034557565+00:00,low,training,2.9
TICKET-CUST-00095-0,CUST-00095,2026-01-31 00:00:00+00:00,2026-02-01 12:10:44.317032193+00:00,low,training,3.2
TICKET-CUST-00095-1,CUST-00095,2026-02-16 00:00:00+00:00,,high,bug,1.0
TICKET-CUST-00096-0,CUST-00096,2026-04-13 00:00:00+00:00,2026-04-14 23:25:36.292816052+00:00,low,training,4.1
TICKET-CUST-00096-1,CUST-00096,2026-03-12 00:00:00+00:00,2026-03-12 17:41:26.411326496+00:00,high,bug,2.6
TICKET-CUST-00097-0,CUST-00097,2026-03-16 00:00:00+00:00,2026-03-18 00:47:57.875815678+00:00,high,bug,2.5
TICKET-CUST-00097-1,CUST-00097,2026-03-16 00:00:00+00:00,2026-03-17 18:01:07.490723576+00:00,low,billing,2.2
TICKET-CUST-00098-0,CUST-00098,2026-04-10 00:00:00+00:00,2026-04-10 18:51:56.177773871+00:00,medium,general,5.0
TICKET-CUST-00098-1,CUST-00098,2026-01-28 00:00:00+00:00,2026-01-28 21:11:58.481646361+00:00,medium,general,4.4
TICKET-CUST-00099-0,CUST-00099,2026-03-05 00:00:00+00:00,2026-03-06 17:20:30.063559985+00:00,medium,billing,3.4
TICKET-CUST-00102-0,CUST-00102,2026-01-27 00:00:00+00:00,2026-01-28 07:11:05.756445052+00:00,low,general,4.8
TICKET-CUST-00103-0,CUST-00103,2026-03-06 00:00:00+00:00,2026-03-07 10:11:31.833386781+00:00,medium,bug,2.7
TICKET-CUST-00104-0,CUST-00104,2026-03-22 00:00:00+00:00,2026-03-23 05:16:54.624084702+00:00,medium,training,2.9
TICKET-CUST-00105-0,CUST-00105,2026-01-26 00:00:00+00:00,2026-01-27 06:32:54.138032175+00:00,low,billing,4.1
TICKET-CUST-00106-0,CUST-00106,2026-04-08 00:00:00+00:00,2026-04-09 01:24:59.823365540+00:00,medium,billing,4.4
TICKET-CUST-00106-1,CUST-00106,2026-02-07 00:00:00+00:00,2026-02-07 19:45:49.905804057+00:00,low,bug,2.7
TICKET-CUST-00107-0,CUST-00107,2026-03-07 00:00:00+00:00,2026-03-08 01:42:32.378763050+00:00,medium,bug,3.3
TICKET-CUST-00108-0,CUST-00108,2026-02-01 00:00:00+00:00,2026-02-02 01:49:16.294424123+00:00,high,general,1.5
TICKET-CUST-00108-1,CUST-00108,2026-03-18 00:00:00+00:00,2026-03-19 03:05:49.493563003+00:00,low,general,2.9
TICKET-CUST-00108-2,CUST-00108,2026-03-22 00:00:00+00:00,2026-03-23 14:49:01.298066358+00:00,low,bug,2.4
TICKET-CUST-00108-3,CUST-00108,2026-04-15 00:00:00+00:00,2026-04-16 20:59:26.382349848+00:00,low,billing,4.5
TICKET-CUST-00109-0,CUST-00109,2026-02-02 00:00:00+00:00,2026-02-03 05:18:18.239288634+00:00,medium,billing,3.8
TICKET-CUST-00109-1,CUST-00109,2026-01-28 00:00:00+00:00,2026-01-28 17:17:21.657254375+00:00,low,general,2.2
TICKET-CUST-00110-0,CUST-00110,2026-03-06 00:00:00+00:00,2026-03-06 23:10:40.849298762+00:00,low,bug,3.4
TICKET-CUST-00110-1,CUST-00110,2026-03-04 00:00:00+00:00,2026-03-05 03:11:33.930956020+00:00,high,general,3.0
TICKET-CUST-00111-0,CUST-00111,2026-02-01 00:00:00+00:00,2026-02-02 17:41:57.400114214+00:00,low,bug,2.6
TICKET-CUST-00113-0,CUST-00113,2026-04-10 00:00:00+00:00,2026-04-11 17:50:35.718563346+00:00,medium,bug,2.5
TICKET-CUST-00113-1,CUST-00113,2026-02-01 00:00:00+00:00,2026-02-02 15:27:43.247188741+00:00,low,bug,3.3
TICKET-CUST-00113-2,CUST-00113,2026-03-14 00:00:00+00:00,2026-03-15 20:15:39.936860616+00:00,low,billing,2.6
TICKET-CUST-00113-3,CUST-00113,2026-03-26 00:00:00+00:00,2026-03-27 05:07:21.082431107+00:00,high,bug,2.5
TICKET-CUST-00113-4,CUST-00113,2026-02-08 00:00:00+00:00,2026-02-09 20:22:39.293690445+00:00,medium,general,2.6
TICKET-CUST-00117-0,CUST-00117,2026-02-18 00:00:00+00:00,2026-02-19 07:45:48.232537543+00:00,low,training,3.4
TICKET-CUST-00117-1,CUST-00117,2026-03-18 00:00:00+00:00,2026-03-19 02:16:06.840046424+00:00,low,bug,3.3
TICKET-CUST-00118-0,CUST-00118,2026-02-13 00:00:00+00:00,2026-02-14 13:03:54.179531297+00:00,low,general,2.7
TICKET-CUST-00118-1,CUST-00118,2026-02-20 00:00:00+00:00,2026-02-21 22:35:37.399893721+00:00,low,bug,3.3
TICKET-CUST-00119-0,CUST-00119,2026-03-15 00:00:00+00:00,2026-03-16 08:57:17.735545687+00:00,medium,training,4.0
TICKET-CUST-00119-1,CUST-00119,2026-02-11 00:00:00+00:00,2026-02-12 09:16:16.962511367+00:00,low,training,3.6
TICKET-CUST-00119-2,CUST-00119,2026-03-30 00:00:00+00:00,2026-03-31 12:18:24.610930639+00:00,low,general,3.0
TICKET-CUST-00120-0,CUST-00120,2026-03-20 00:00:00+00:00,2026-03-22 20:04:36.478292143+00:00,low,bug,1.5
TICKET-CUST-00120-1,CUST-00120,2026-02-22 00:00:00+00:00,2026-02-23 23:19:32.279015113+00:00,medium,general,2.4
TICKET-CUST-00120-2,CUST-00120,2026-02-26 00:00:00+00:00,2026-02-28 15:08:30.649598842+00:00,medium,billing,3.6
TICKET-CUST-00121-0,CUST-00121,2026-03-11 00:00:00+00:00,2026-03-13 00:55:53.400241937+00:00,low,bug,2.5
TICKET-CUST-00121-1,CUST-00121,2026-04-13 00:00:00+00:00,2026-04-14 23:11:28.489498225+00:00,medium,general,3.7
TICKET-CUST-00123-0,CUST-00123,2026-03-08 00:00:00+00:00,2026-03-08 23:14:30.187566861+00:00,low,general,3.8
TICKET-CUST-00124-0,CUST-00124,2026-03-31 00:00:00+00:00,2026-04-02 03:39:33.649940459+00:00,low,training,2.8
TICKET-CUST-00125-0,CUST-00125,2026-02-19 00:00:00+00:00,2026-02-19 23:16:16.120124033+00:00,medium,training,4.2
TICKET-CUST-00126-0,CUST-00126,2026-02-11 00:00:00+00:00,2026-02-12 07:54:17.098228242+00:00,low,general,2.7
TICKET-CUST-00126-1,CUST-00126,2026-03-09 00:00:00+00:00,2026-03-10 01:05:52.083436030+00:00,low,general,2.8
TICKET-CUST-00127-0,CUST-00127,2026-03-17 00:00:00+00:00,2026-03-18 12:10:45.542379912+00:00,medium,bug,2.8
TICKET-CUST-00127-1,CUST-00127,2026-03-18 00:00:00+00:00,2026-03-19 04:58:11.781843827+00:00,medium,bug,3.6
TICKET-CUST-00128-0,CUST-00128,2026-02-22 00:00:00+00:00,2026-02-23 22:17:08.654353494+00:00,low,billing,3.0
TICKET-CUST-00128-1,CUST-00128,2026-02-04 00:00:00+00:00,2026-02-05 17:32:25.598366983+00:00,low,general,4.9
TICKET-CUST-00128-2,CUST-00128,2026-03-16 00:00:00+00:00,2026-03-18 07:42:31.514026895+00:00,medium,training,2.0
TICKET-CUST-00129-0,CUST-00129,2026-03-01 00:00:00+00:00,2026-03-03 04:05:09.392329103+00:00,low,bug,1.5
TICKET-CUST-00129-1,CUST-00129,2026-03-17 00:00:00+00:00,2026-03-19 13:28:44.649014392+00:00,high,training,2.8
TICKET-CUST-00129-2,CUST-00129,2026-02-13 00:00:00+00:00,2026-02-15 03:26:51.384420200+00:00,high,billing,2.0
TICKET-CUST-00129-3,CUST-00129,2026-02-18 00:00:00+00:00,,low,training,3.2
TICKET-CUST-00131-0,CUST-00131,2026-03-25 00:00:00+00:00,,high,billing,2.4
TICKET-CUST-00132-0,CUST-00132,2026-04-07 00:00:00+00:00,2026-04-07 19:15:38.232227085+00:00,low,billing,3.6
TICKET-CUST-00133-0,CUST-00133,2026-03-22 00:00:00+00:00,2026-03-24 16:04:24.111920512+00:00,medium,billing,2.2
TICKET-CUST-00133-1,CUST-00133,2026-03-19 00:00:00+00:00,2026-03-21 06:54:43.033045586+00:00,low,training,3.2
TICKET-CUST-00133-2,CUST-00133,2026-03-19 00:00:00+00:00,2026-03-21 04:49:29.415717470+00:00,low,bug,2.2
TICKET-CUST-00134-0,CUST-00134,2026-02-02 00:00:00+00:00,2026-02-03 21:13:27.937843024+00:00,low,bug,3.9
TICKET-CUST-00134-1,CUST-00134,2026-04-18 00:00:00+00:00,2026-04-19 07:24:00.942296287+00:00,low,general,2.5
TICKET-CUST-00137-0,CUST-00137,2026-04-10 00:00:00+00:00,2026-04-11 13:27:46.904734890+00:00,medium,training,3.3
TICKET-CUST-00137-1,CUST-00137,2026-02-05 00:00:00+00:00,2026-02-06 22:27:43.980592631+00:00,medium,training,2.0
TICKET-CUST-00139-0,CUST-00139,2026-04-10 00:00:00+00:00,2026-04-11 16:04:04.354189275+00:00,medium,bug,2.0
TICKET-CUST-00139-1,CUST-00139,2026-01-30 00:00:00+00:00,2026-01-31 20:02:48.898171224+00:00,low,billing,3.9
TICKET-CUST-00140-0,CUST-00140,2026-04-12 00:00:00+00:00,,low,bug,3.3
TICKET-CUST-00140-1,CUST-00140,2026-03-06 00:00:00+00:00,2026-03-08 05:26:39.504181969+00:00,low,general,1.6
TICKET-CUST-00140-2,CUST-00140,2026-02-09 00:00:00+00:00,2026-02-10 15:12:54.134694336+00:00,medium,training,1.0
TICKET-CUST-00140-3,CUST-00140,2026-02-12 00:00:00+00:00,2026-02-14 20:34:51.779778735+00:00,low,billing,2.4
TICKET-CUST-00140-4,CUST-00140,2026-04-12 00:00:00+00:00,2026-04-14 20:56:46.566277207+00:00,low,bug,2.1
TICKET-CUST-00141-0,CUST-00141,2026-03-28 00:00:00+00:00,2026-03-29 00:30:20.588386536+00:00,high,training,3.6
TICKET-CUST-00142-0,CUST-00142,2026-04-01 00:00:00+00:00,2026-04-02 15:50:59.112870034+00:00,low,bug,4.4
TICKET-CUST-00143-0,CUST-00143,2026-02-21 00:00:00+00:00,2026-02-23 13:09:44.868401609+00:00,low,billing,1.5
TICKET-CUST-00144-0,CUST-00144,2026-01-27 00:00:00+00:00,2026-01-28 10:34:09.655119280+00:00,medium,general,2.4
TICKET-CUST-00145-0,CUST-00145,2026-01-30 00:00:00+00:00,2026-02-01 03:31:44.010087799+00:00,low,training,5.0
TICKET-CUST-00147-0,CUST-00147,2026-03-02 00:00:00+00:00,2026-03-03 09:03:27.933988567+00:00,medium,training,4.1
TICKET-CUST-00147-1,CUST-00147,2026-04-13 00:00:00+00:00,2026-04-14 04:36:25.203694334+00:00,medium,bug,4.9
TICKET-CUST-00150-0,CUST-00150,2026-02-16 00:00:00+00:00,2026-02-17 20:29:26.780645995+00:00,high,bug,3.8
TICKET-CUST-00150-1,CUST-00150,2026-02-24 00:00:00+00:00,2026-02-26 05:48:20.139633240+00:00,medium,training,2.1
TICKET-CUST-00153-0,CUST-00153,2026-02-17 00:00:00+00:00,2026-02-17 13:35:01.747775810+00:00,low,billing,4.0
TICKET-CUST-00154-0,CUST-00154,2026-02-04 00:00:00+00:00,2026-02-04 22:20:02.827119414+00:00,low,billing,2.2
